0-penly Openly
Exer-cife Exercise
exer-cifing exercising
exercise-able exerciseable
exist-ing existing
Ex-pcnces Expences
Ex-pence Expence
ex-pences expences
Ex-\ pences Expences
Ex-pences Expences
Expen-ces Expences
Ex-penecs Expences
Ex-penees Expences
Ex-\ penses Expenses
Ex-penses Expenses
Expira-\ tion Expiration
Expira-tion Expiration
ex-prefled expressed
ex-pressed expressed
ex-tinguifhment extinguishment
Ex-tinguifhment Extinguishment
extingui(hed extinguished
extingui(h extinguish
extingui(hing extinguishing
extingui(htng extinguishing
ex-traoidinary extraordinary
Extraordi-nary Extraordinary
extra-parocbial extra-parochial
extra-paro-chial extra-parochial
Extra-parocliial Extra-parochial
fab-fidies subsidies
facra-ment sacrament
fa(hion fashion
faidcommif-Jioners said\ commissioners
faidcom-missioners said\ commissioners
faidcommission-ers said\ commissioners
fail-ciotbes sail-clothes
fail-cloib sail-cloth
fail-clothes sail-clothes
fail-cloth sail-cloth
fail-cloths sail-cloths
fail-dotb sail-cloth
fail-doth sail-cloth
fala-ries salaries
fala-ry salary
falif-faftory satisfactory
Farn-\ borough Farnborough
Farn-borough Farnborough
Farn-\ hurst Farnhurst
Farn-hurst Farnhurst
Farring-\ don Farringdon
Farring-don Farringdon
fa-tiafaction satisfaction
fatif-faction satisfaction
fa-tisfaAion satisfaction
fatis-faclion satisfaction
fa-tisfaction satisfaction
fatis-faction satisfaction
fatisfac-tion satisfaction
fa-tisfactory satisfactory
fatis-faddion satisfaction
fatis-fadfion satisfaction
fa-tisfadhon satisfaction
fa-tisfadion satisfaction
fatis-fadion satisfaction
fa-tisfadlion satisfaction
fatis-fadlion satisfaction
fatis-fadlory satisfactory
fa-tisfadtion satisfaction
fa-tisfadtory satisfactory
fa-tisfaefion satisfaction
fa-tisfaftion satisfaction
fatis-faftory satisfactory
fa-tisfeftion satisfaction
fa-tisfied satisfied
fa-tisfifd satisfied
fa-tisfted satisfied
fa-tisfying satisfying
fa-tisfy satisfy
Faver-\ sham Faversham
Faver-sham Faversham
(fave save
fcaft-day feast-day
fcc-limple fee-simple
fce-Jtmple fee-simple
fce-simple fee-simple
Fce-timple Fee-simple
fche-dule schedule
fche-dules schedules
fcr-Vant servant
fcr-Vants servants
fea-coal sea-coal
fea-coast sea-coast
feafaring-man seafaring-man
feafaring-men seafaring-men
feafaring seafaring
fea-fish seafish
feaft-day feast-day
feajl-day feast-day
fea-man seaman
fea-men seamen
fearch-ing searching
Febru-ary February
Febru-aty February
fe-cond second
fecre-taries secretaries
fecreta-ries secretaries
fe-cretary secretary
fecre-tary secretary
fecreta-ry secretary
fec-simple fee-simple
fe-cured secured
fe-curing securing
fecur-ing securing
fe-curities securities
fecu-rities securities
fecuri-ties securities
fe-curity security
fecu-rity security
fecuri-ty security
fee-fimpfe fee-simple
fee-fimpie fee-simple
fee-fimpje fee-simple
fee-fimpJe fee-simple
fee-fim-ple fee-simple
fee-fimple fee-simple
Fee-fimple Fee-simple
fee-fimule fee-simple
fee-finiple fee-simple
fee-fitnple fee-simple
fee-ftmple fee-simple
fee-iimple fee-simple
fee-Jimple fee-simple
Fee-limple Fee-simple
fee-simple fee-simple
Fee-simple Fee-simple
fef-fion session
fef-fions sessions
fef-iions sessions
fef-lion session
fef-lions sessions
fe(lions sessions
fe\ (lions sessions
feme-covcrts feme-coverts
feme-coVert feme-covert
femes-co-vert femes-covert
femes-co-Vert femes-covert
femi-nary seminary
Fen-church Fenchurch
Fenchurch-freet Fenchurch-street
Fen-church-street Fenchurch-street
fen-cible fencible
Fen-cibles Fencibles
fen-tenced sentenced
fen-tence sentence
fen-tences sentences
fepa-rated separated
fepa-rately separately
fe-parate separate
fepa-rate separate
fepa-rating separating
fepa-ration separation
fequef-trated sequestrated
fequef-tration sequestration
fequeftra-tion sequestration
fequef-trations sequestrations
fequejlra-tion sequestration
Ferry-boufe Ferry-house
Ferry-bouse Ferry-house
fer-vant servant
fer-vants servants
fer-vice service
fer-vices services
ferv-ing serving
fet-tlement settlement
fe-ven seven
feven-teen seventeen
fe-venth seventh
fe-venty seventy
feve-rally severally
fe-veral  several
feve-ral several
fevpnty-fix seventy-six
fhe-riff sheriff
fick-nefs sickness
fifhe-ries fisheries
fifh-ery fishery
Fifh-ery Fishery
fifie-ries fisheries
fifty-fire fifty-five
fifty-fix fifty-six
Fifty-fix Fifty-six
fign-ed signed
fig-nified signified
fign-ing signing
fi(hery fishery
fi(h fish
Fi(h Fish
fiihe-ries fisheries
Fiity-fix Fifty-six
Filhe-ries Fisheries
fili-tbrcwers silk-throwers
filk-tbrowers silk-throwers
filk-tbrowing silk-throwing
filk-throwers silk-throwers
filk-throwihg silk-throwing
filk-throwing silk-throwing
filk-throwipg silk-throwing
fini(hed finished
fini(h finish
fini(hing finishing
firfi-fruits first-fruits
firfi-mentioned first-mentioned
firfl-mentioned first-mentioned
firft-recited first-recited
firll-recited first-recited
first-mentioaed first-mentioned
first-mention-cd first-mentioned
first-mentioncd first-mentioned
first-mention-ed first-mentioned
first-meptioned first-mentioned
first-tnentioned first-mentioned
first-xnentioned first-mentioned
fit-ftmple fee-simple
fix-fcorc six-score
fix-fcore six-score
fix-feore six-score
fix-pence six-pence
fix-tecn sixteen
fix-teen sixteen
fix-teenth sixteenth
fixty-fix sixty-six
fix-ty sixty
flag-gons flaggons
flag-ofiicer flag-officer
flamp-duty stamp-duty
Fleet-ltreet Fleet-street
fle(h flesh
Fle(h Flesh
fl(h-ponds fish-ponds
flouri(hcs flourishes
flouri(hes flourishes
Flouri(hes Flourishes
flouri(h flourish
foaft-day feast-day
fob-fidies subsidies
<f of
>f of
fol-dier soldier
foldi-ers soldiers
follow-\ ing following
follow-ing following
foot-soidlers foot-soldiers
Fo-reftry Forestry
forfeit-able forfeitable
forty-fix forty-six
Forty-fix Forty-six
Forty-fixth Forty-sixth
Forty-flxth Forty-sixth
four-\ teen fourteen
four-teen fourteen
fouth-eaft south-east
fouth-weft south-west
fo-vercign sovereign
fo-vereign sovereign
fove-reign sovereign
fo-Vereign sovereign
fpc-cified specified
fpe-cially specially
fpe-cial special
fpe-cies species
fpe-cified specified
fpe-cifying specifying
fpecify-ing specifying
fpi-ritual spiritual
fpiri-tual spiritual
frc(h fresh
fre(h fresh
Fre(h Fresh
ftamp-duties stamp-duties
ftamp-duty stamp-duty
ftar-chamber star-chamber
fta-tutes statutes
fta-tute statute
ftcre-tary secretary
ftew-ard steward
ftewar-tries stewartries
ftore-bouse store-house
ftore-houfe store-house
ftore-houle store-house
ftore-house store-house
ftu-dents students
ftxty-fix sixty-six
fubal-tern subaltern
fub-colledft-ors sub-collectors
fub-constable sub-constable
fub-divifions sub-divisions
fub-divifion sub-division
fub-divilion sub-division
fub-fcribe subscribe
fubfe-quent subsequent
fub-feribe subscribe
fub-fidies subsidies
fubfi-dies subsidies
fub-fidy subsidy
fubfiftence-money subsistence-money
fubfti-tutes substitutes
fub-jeds subjects
fub-jed subject
fub-jedts subjects
fub-jedt subject
fub-jefts subjects
fubje<fts subjects
fub-jeft subject
fubje<ft subject
fubli-dies subsidies
fub-mitted submitted
fub-stantial substantial
fub- sub-
fucccf-fors successors
fuccef-fors successors
fuc-ceffors sucessors
fuccef-ors successors
fuccei-fors successors
fuc-cession succession
fuc-cessors successors
(fuch (such
fuffer-ed suffered
fuf-fer suffer
fuf-\ ficient sufficient
fuf-ficient sufficient
fuffi-cient sufficient
fuffici-ent sufficient
fuffi-dent sufficient
fuf-pe&ed suspected
fuf-pended suspended
fuf-pend suspend
fuf-tained sustained
fuftain-ing sustaining
fuf-tain sustain
fuit-able suitable
fum-mary summary
fumma-ry summary
fum-mit summit
fum-moned summoned
fummon-ing summoning
fum-mons summons
fupe-rior superior
fup-plies supplies
fupply-ing supplying
fup-porting supporting
fup-port support
fup-posed supposed
fu-premacy supremacy
fur-geons surgeons
furni(hed furnished
Furni(her Furnisher
fur-ni(h furnish
furni(h furnish
furni(hing furnishing
fur-nishing furnishing
furnj(h furnish
fur-plufies surplusses
fur-plus surplus
fur-rendered surrendered
furren-ders surrenders
fur-render surrender
fur-rounded surrounded
fur-ther further
fur-veyors surveyors
fur-veyor surveyor
fur-vey survey
fur-vivor survivor
fu(tain sustain
fwal-lowed swallowed
fwear-ing swearing
fwear-tng swearing
fweet-fcented sweet-scented
fweet-feented sweet-scented
fwenty-first twenty-first
fweoty-two twenty-two
gaol-delivtiy gaol-delivery
gar-dens gardens
garri-foas garrisons
garri-fon garrison
Garri-fon Garrison
garrifon-officers garrison-officers
gar-rifons garrisons
garri-fons garrisons
garri-lons garrisons
gene-ral general
Ge-neral General
GEORGII\ 111 GEORGII\ III
Glaf-goiv Glasgow
Glaf-gow Glasgow
Gla-morgandiire Glamorganshire
Gla-morgan Glamorgan
Glasgowy Glasgow,
Glebe-Houle Glebe-Houle
Goa! Goal
Go-dolphin Godolphin
gold-smith goldsmith
good-nefs goodness
Good-nefs Goodness
go-vemment government
Go-vemor Governor
Go-vemors Governors
go-vernment government
govern-ment government
Go-vernment Government
Govern-ment Government
Govern-meut Government
Govern-nent Government
Go-vernois Governor
go-vernor governor
go-vernors Governor
gra-ciously graciously
grammar-febool grammar-school
grammar-fehool grammar-school
grant-\ ing granting
Gravef-end Gravesend
Green-ivich Greenwich
Green-\ way Greenway
Green-way Greenway
Green-\ wich Greenwich
Green-wich Greenwich
Green-\ wick Greenwick
Green-wick Greenwick
grie-voufly grievously
griev-oufly grievously
Gringley-on-the-HiU Gringley-on-the-Hill
Gringley-on-the-HUl Gringley-on-the-Hill
Grin-\ stead Grinstead
Grin-stead Grinstead
Guard-houle Guard-house
Guem-fey Guernsey
Guern-fcy Guernsey
Guern-fey Guernsey
Guern-Jey Guernsey
Guern-ley Guernsey
(ha11 shall
(hafi shall
(hafl shall
(haft shaft
(haH shall
(haii shall
(hail shall
(hajl shall
(haJl shall
(hali shall
(halj shall
Hallam-shire Hallamshire
(hallbe shall\ be
(hallnot shall\ not
(hall shall
(hal! shall
halt-yearly half-yearly
ham-mer hammer
Hamp-shire Hampshire
Hanbo-rough Hanborough
handi-craftfmen handicraftsmen
handicrafts-men handicraftsmen
(hare share
(hares shares
Harrotv-on-the-Hitl Harrow-on-the-Hill
Harrow-on-the-HilL Harrow-on-the-Hill
Harrow-upon-the-HiU Harrow-upon-the-Hill
Hartle-\ pool Hartlepool
Hartle-pool Hartlepool
(haU shall
hcrein-after herein-after
hcrein-before herein-before
hcrein-betore herein-before
hcrein-btfore herein-before
hcrein-hefore herein-before
(heep-fkins sheep-skins
(heep-(kins sheep-skins
(heep sheep
(heet sheet
he,\ (he\ and\ they he,\ she\ and\ they
he,\ (he,\ or he,\ she,\ or
he,\ (he\ or he,\ she\ or
hercin-before herein-before
heredi-\ taments hereditaments
heredi-taments hereditaments
Here-ford Hereford
herein-afier herein-after
herein-aiter herein-after
herein-atter herein-after
herein-bcfore hereinbefore
herein-bcfore herein-before
herein-befare herein-before
herein-betore herein-before
herein-btfore herein-before
herein-hefore herein-before
herein-nfter herein-after
hereiri-after herein-after
hereiri-before herein-before
hereiu-after herein-after
hereiu-before herein-before
hereln-after herein-after
herem-after herein-after
herem-before herein-before
(heriffdom sheriffdom
(heriff sheriff
heroin-before herein-before
(hewed shewed
(hewing shewing
(hewn shewn
(hew shew
high-nefs highness
High-nefs Highness
high-treafarer high-treasurer
high-treafuicr high-treasurer
high-treafuref high-treasurer
high-treafyrer high-treasurer
high-treaiurer high-treasurer
Hign-nefs Highness
(hiliing shilling
(hiliings shillings
(hilling shilling
(hillings shillings
(hillirig shilling
(hilljngs shilljngs
him-felf himself
him-self himself
Hind-\ ley Hindley
Hind-ley Hindley
(hipmalter shipmaster
(hipmaster shipmaster
(hipmasters shipmasters
(hipped shipped
(hipping shipping
(hip ship
(hips ships
(hire-clerk shire-clerk
(hire-clerks shire-clerks
(hire-corporate shire-corporate
(hire-court shire-court
(hire-courts shire-courts
(hire-days shire-days
(hire shire
(hires shires
His-present His\ present
hnf-bandry husbandry
(hoe-makers shoe-makers
(hoemakers shoemakers
(hoemaking shoemaking
(hoes shoes
hof-pital hospital
hofpi-tal hospital
Hof-pital Hospital
hogge(hed hoggeshed
hog(head hogshead
hog(heads hogsheads
Hog-(heads Hogsheads
Hoi-born Holborn
Holds-\ worth Holdsworth
Holds-worth Holdsworth
(hore shore
Horfe-ferry Horseferry
(hortened shortened
(hortening shortening
(horter shorter
(hortlings shortlings
(hortly shortly
(hortnefs shortness
(hort short
Hospi-tal Hospital
hot-withstanding notwithstanding
hou(ho!d houshold
hou(holder housholder
hou(holder$ housholders
hou(holders housholders
Hou(holders Housholders
hou-(hold houshold
hou(hold houshold
Hou(hold Houshold
(houid should
(houjd should
(hould should
Houn-flow Hounslow
howfo-ever howsoever
how-soever howsoever
(hrub shrub
(hrubs shrubs
(hrunk shrunk
Hudderf-field Huddersfield
HudflHs-Bay Hudsons-Bay
Hudjons-Bay Hudsons-Bay
huf-bandry husbandry
Huf-bandry Husbandry
hun-4\ dred hundred
hun-dred hundred
Hunting-donshire Huntingdonshire
Huntingdon-shire Huntingdonshire
Huntrng-donfhire  Huntingdonshire
Id-ftrument Instrument
ier-vant servant
ier-vants servants
if-fues issues
if-fuing issuing
iffu-ing issuing
if-sued issued
iifty-fix fifty-six
II(houid should
iixty-fix sixty-six
i(land island
I(land Island
i(lands islands
I(lands Islands
immedi-ately immediately
im-piilonment imprisonment
im-ployment imployment
imploy-ment imployment
im-pofed imposed
impofi-tion imposition
impofi-tions impositions
im-portation importation
im-\ ported imported
im-posed imposed
im-position imposition
im-positions impositions
impo-verijbment impoverishment
impove-rijhment impoverishment
im-poverilhment impoverishment
impove-rtjbment impoverishment
im-powered impowered
impow-ered impowered
impower-ed impowered
im-poyerifhment impoverishment
im-preffed impressed
im-prefled impressed
impri-fbnment imprisonment
im-prifonment imprisonment
impri-fonment imprisonment
Impri-fonment Imprisonment
impri-foument imprisonment
impri-ibnment imprisonment
impri-ionment imprisonment
imprilbn-ment imprisonment
im-prisoned imprisoned
imprison-ment imprisonment
Im-prisonment Imprisonment
Imprison-ment Imprisonment
inalien-able inalienable
inclo-fing inclosing
in-clofure inclosure
in-clusive inclusive
incon-veniencies inconveniencies
Incon-veniencies Inconveniencies
in-creafing increasing
in-creased increased
indift-ment indictment
In-diftment Indictment
Indift-ment Indictment
in-direAly indirectly
in-directly indirectly
in-diredlly indirectly
indi-redly indirectly
in-dorfe indorse
in-dorfement indorsement
In-dorfement Indorsement
Indorfe--ment Indorsement
Indorie-ment Indorsement
indorse-ment indorsement
Indorse--ment Indorsement
Indorse-ment Indorsement
Indorse-ments Indorsements
Induf-try Industry
in-ffrument instrument
infiru-ment instrument
In-firument Instrument
In-flrument Instrument
Inflru-ment Instrument
info)vent insolvent
In-fpe&ion Inspection
in-ftalment instalment
inftal-ment instalment
In-ftalment Instalment
Inftal-ment Instalment
inftal-ments installments
Inftrn-ment Instrument
in-ftrument instrument
inftru-ment instrument
In-ftrument Instrument
Inftru-ment Instrument
in-ftruments instruments
Infu-rance Insurance
Infur-ance Insurance
in-furances insurances
I-nfurances Insurances
In-furances Insurances
Infur-ances Insurances
Infu-ranee Insurance
in-fure insure
infurre&i-on insurrection
infur-re&ions insurrections
Inilru-ment Instrument
Ini-prisonment Imprisonment
in-Jlrument instrument
In-Jlrument Instrument
In-liftment Inlistment
inrol-ment inrolment
inr-prisonment imprisonment
Inspec-tion Inspection
In-spectors Inspectors
in-stead instead
Instru-ments Instruments
intered-monies interest-monies
interefe-monies interest-monies
inte-refted interested
in-tereft interest
inte-reft interest
In-tereft Interest
in-tereft-monies interest-monies
intereft-monies interest-monies
inti-tied intitled
inti-tled intitled
intituled,\ Ah intituled,\ An
ioftru-ment instrument
Ira-prisonment Imprisonment
Ire-land Ireland
Ire-laud Ireland
Ire-lend Ireland
Iri(h Irish
iri\ the in\ the
i(Tued issued
i(Tue issue
i(Tuing issuing
Iuftru-ment Instrument
IVedmj-day Wednesday
(ixpence sixpence
(ixteen sixteen
(ixty sixty
Jack-fon Jackson
Jala-ry salary
Jana-ary January
Janu-ary January
j>erfons persons
je(ty jesty
jewi(h jewish
Jhil-lings shillings
Jixty-fix sixty-six
Jm-prisonment Imprisonment
Jnftru-ment Instrument
John-fon Johnson
jtirif-didion jurisdiction
Jtirif-didion Jurisdiction
Judg-4\ ment Judgment
judge-ment judgement
Judg-ment Judgment
juf-ticcs justices
Ju-ftice Justice
ju-ftices justices
Juf-tices Justices
jurif-diction jurisdiction
jurifdic-tion jurisdiction
jurif-didion jurisdiction
jurif-diftion jurisdiction
jurif-diftions jurisdictions
Juris-\ diction Jurisdiction
Juris-diction Jurisdiction
jurisdi<ftion jurisdiction
ju-(ticcs justices
ju(tice justice
ju(tices justices
ju(tiees justices
ju(ttces justices
Jxty-fix sixty-six
Ken-nington Kennington
Kenning-ton Kennington
Kepo-fitory Repository
King-\ dom Kingdom
King-dom Kingdom
King-fton Kingston
(kins skins
Knot-\ tingley Knottingley
Knot-tingley Knottingley
know-ing knowing
know-ingly knowingly
!>lace place
lad-mentioned last-mentioned
lafl-mentioned last-mentioned
laft--mentioned last-mentioned
laft-mentioned last-mentioned
laft-recited last-recited
!>laint plaint
lajl-mentioned last-mentioned
lall-mentioned last-mentioned
(lamp-duties stamp-duties
(lamp-duty stamp-duty
(lamped stamped
last-menticned last-mentioned
lately\ pa\ fled lately\ passed
latt-mentioned last-mentioned
(latutes statutes
(latute statute
(lave slave
Leather-\ head Leatherhead
Leather-head Leatherhead
l>e be
lega-cies legacies
Lei-cester Leicester
Lepa-cies Legacies
leventy-fix seventy-six
li-brary library
Li-brary Library
li-cenfing licensing
licen-fing licensing
li-Cenfing licensing
licen-ling licensing
Lieute-\ nant Lieutenant
Lieute-nant Lieutenant
lieu-tenants lieutenants
lieute-nants lieutenants
Lieute-nants Lieutenants
light-boujes light-houses
light-houies light-houses
light-houjes light-houses
liigh-constables high-constables
Lin-coin Lincoln
Liver-\ pool Liverpool
Liver-pool Liverpool
lixty-fix sixty-six
lm-prisonment imprisonment
lnfol-vent insolvent
ln-ftalment instalment
ln-ftrument instrument
ln-Irument instrument
Lon-donderry Londonderry
London-derry Londonderry
Lon-\ don London
Lon-don London
lord-fhips lordships
lords-commijftoners lords-commissioners
lords-commission6rs lords-commissioners
lords-comrnifioners lords-commissioners
(luffs stuffs
lupervif-ors supervisors
lurvey-ors surveyors
ma-fter master
Maf-ter Master
maf-ters masters
Maf-ters Masters
maft-head Mast-head
Maft-head Mast-head
magi-firate magistrate
magi-firates magistrates
magi-flrate magistrate
magi-ftracy magistracy
magif-tratc magistrate
ma-giftrate magistrate
magi-ftrate magistrate
magif-trate magistrate
magi-ftrateof magistrate\ of
ma-giftrates magistrates
magi-ftrates magistrates
magif-trates magistrates
Magif-trates Magistrates
magi-ftratesrefpeflively magistrates\ respectively
magif-tratts magistrates
magi-ltrate magistrate
Ma-gistrates Magistrates
Ma-iefty Majesty
Ma-jafty Majesty
Ma-jbfty Majesty
ma-jcfty majesty
majcf-ty majesty
Ma--jcfty Majesty
Ma-jcfty Majesty
Majc-fty Majesty
Majcf-ty Majesty
Ma-jcjly Majesty
Majc-Jty Majesty
Ma-jclly Majesty
Ma-jctty Majesty
Ma-jeffy Majesty
Ma-jefiy Majesty
ma-jefly majesty
Ma-jefly Majesty
Maje-fly Majesty
Ma-jefties Majesties
Ma-jeftv Majesty
ma-\ jefty majesty
ma-jefty majesty
maje-fty majesty
Ma-\ jefty Majesty
Ma-jefty Majesty
Maje-fty Majesty
Majef-ty Majesty
ma-\ jejly majesty
ma-jejly majesty
Ma-\ jejly Majesty
Ma-jejly Majesty
Maje-Jly Majesty
MajeJ-ty Majesty
Ma-\ jelly Majesty
Ma-jelly Majesty
Ma-jelty Majesty
Ma-jelVy Majesty
Ma-\ jessy Majesty
Ma--jesty Majesty
Ma-\ jesty Majesty
Ma-jesty Majesty
ma-\ jetty majesty
ma-jetty majesty
Ma-\ jetty Majesty
Ma-jetty Majesty
Maje-tty Majesty
maje(ty majesty
Maje(ty Majesty
Maj-fty Majesty
Majrf-ty Majesty
ma-liciously maliciously
(mall small
Malt-houle Malt-house
manage-ment management
Manage-ment Management
mana-gers managers
Mancbef-ter Manchester
Mancbtf-Ur Manchester
Man-chefier Manchester
Man-chester Manchester
Man-ehester Manchester
manufac-ture manufacture
Mar-fhalfea Marshalsea
Mar-fhals Marshals
Mar-fham Marsham
Marftial-sea Marshalsea
Mar-garet Margaret
mar(hal marshal
Mar-(hal Marshal
Mar(halsea Marshalsea
mar-(hals marshals
mar(h marsh
Mar-Jbalfey Marshalsey
marjb-land arshland
Mar-Jhalfea Marshalsea
Mar-Jhalfey Marshalsey
Mar-Jhal Marshal
Market-HarboroUgh Market-Harborough
Marl-borough Marlborough
marriage-fcttlemeiTt marriage-settlement
mar-riage-fettiement marriage-settlement
marriage-fettkment marriage-settlement
mar-riage-fettlement marriage-settlement
marriage-fettle-ment marriage-settlement
marriage-fettlement marriage-settlement
mar-riage marriage
mar-riages marriages
Mary-Ie-bone Mary-le-bone
Mayef-ty Majesty
M-ddhfex Middlesex
mea-fured measured
mea-fure measure
Mea-fure Measure
mea-furement measurement
Mea-furement Measurement
meafur-ers measurers
mea-fures measures
Mea-fures Measures
meafur-ing measuring
mea-sured measured
mea-sure measure
Mea-sure Measure
Measure-ment Measurement
MEASURE-MENT MEASUREMENT
mea-sures measures
me-\ chanical mechanical
me-chanical mechanical
Mecklen-\ burgh Mecklenburgh
Mecklen-burgh Mecklenburgh
Medi-\ cal Medical
Medi-cal Medical
Medi-\ terranean Mediterranean
Medi-terranean Mediterranean
Mediter-\ ranean Mediterranean
Mediter-ranean Mediterranean
Med-\ way Medway
Med-way Medway
meeting-boufes meeting-houses
Meet-\ ings Meetings
Meet-ings Meetings
mef-fuages messuages
meflu-ages messuages
Mel-\ combe Melcombe
Mel-combe Melcombe
Melks-\ ham Melksham
Melks-ham Melksham
Mel-\ moth Melmoth
Mel-moth Melmoth
Melt-\ ham Meltham
Melt-ham Meltham
Mem-\ bers Members
Mem-bers Members
men-\ 4\ tioned mentioned
men-\ tioned mentioned
men-tioned mentioned
me-thods methods
me-thuds methods
Met-jetty Majesty
me-tnod method
Metro-\ politan Metropolitan
Metro-politan Metropolitan
Mid-diefex Middlesex
Mid-djesex Middlesex
Mid-dlcsex Middlesex
Mid-dlefcxy Middlesex,
Mid-dlefex Middlesex
Middle-fex Middlesex
Mid-dlefexy Middlesex,
Middle-fexy Middlesex,
Middle-fix Middlesex
Mid-dlefixy Middlesex,
Mid-dleftXy Middlesex,
Middle-Jexy Middlesex,
Mid-dleJeXy Middlesex,
Mid-\ dlesborough Middlesborough
Mid-dlesborough Middlesborough
Middles-\ borough Middlesborough
Middles-borough Middlesborough
mid-\ dlesex middlesex
mid-dlesex middlesex
Mid-dlesex Middlesex
Middle-\ sex Middlesex
Middle-sex Middlesex
Middlesexy Middlesex,
Middle-\ ton Middleton
Middle-ton Middleton
MiddU-fex Middlesex
Mid-Hefex Middlesex
Mid-tUcsex Middlesex
mif-chiefs mischiefs
mifde-meanor misdemeanor
mil-\ lions millions
mil-lions millions
minif-ter minister
M-jesty Majesty
M-jetty Majesty
M-Jetty Majesty
Mnjef-ty Majesty
mo-ney money
Mon-mouth Monmouth
Mon-mouthshire Monmouthshire
Mont-gomery Montgomery
move-able moveable
Move-able Moveable
Ms-jefly Majesty
Ms-jetty Majesty
mtereft-monies interest-monies
mufter-master muster-master
Mufter-master Muster-master
MX-jetty Majesty
Mz-jetty Majesty
natural-bom natural-born
Natural-bom Natural-born
natural-bora natural-born
nc-ceffary necessary
nccef-fary necessary
nc-ceflary necessary
nc-ceflfary necessary
nc-ceftary necessary
Neccf-faries Necessaries
ne-ccffary necessary
neccf-fary necessary
ne-ccflary necessary
neccfla-ry necessary
ne-cdfity necessity
necef-faries necessaries
Ne-ceffaries Necessaries
Necef-faries Necessaries
ne-ceffary necessary
necef-fary necessary
neceffa-ry necessary
ne-Ceffary necessary
Necef-fary Necessary
ne-ceffity necessity
necef-fity necessity
Ne-ceffity Necessity
Necef-fity Necessity
necefia-ry necessary
ne-ceflary necessary
necefla-ry necessary
ne-ceflfary necessary
ne-ceftary necessary
necef-tary necessary
ne-cefTary necessary
Necej-faries Necessaries
necejfa-ry necessary
Necel-fity Necessity
ne-cessary necessary
nece(tary necessary
nect-flary necessary
neee(tary necessary
neglect-ing neglecting
negled-ing neglecting
negle<ft neglect
ne-gle&ing neglecting
negle&-ing neglecting
negoci-able negociable
Neigh-\ bourhood Neighbourhood
Neigh-bourhood Neighbourhood
Neiv-foundland Newfoundland
Ne-teffity Necessity
never-thelefs nevertheless
neverthe-lefs nevertheless
never-theless nevertheless
neverthe-less nevertheless
Newcadle-upon-Tyne Newcastle-upon-Tyne
Newcastle-npon-Tyne Newcastle-upon-Tyne
Newcastle-under-TJyme Newcastle-under-Lyme
New-fiundland Newfoundland
New-foundland Newfoundland
Newfound-land Newfoundland
nine-\ teen nineteen
nine-teen nineteen
ninetv-seven ninety-seven
ninety-fev-en ninety-seven
ninety-fix ninety-six
ninety-leven ninety-seven
ninety-ninc ninety-nine
ninety-njne ninety-nine
nojudge-ment no\ judgement
nomi-\ nated nominated
nomi-nated nominated
nomi-\ nate nominate
nomi-nate nominate
non-commif-fioned non-commissioned
non-fuit non-suit
Northamp-ton Northampton
north-eaft north-east
North-eaft North-east
north-weft north-west
Not-ingbam Nottingham
Not-ingham Nottingham
Not-tingbam Nottingham
Notting-ham Nottingham
notwiih(t3nding notwithstanding
not-withdanding notwithstanding
not-withfianding notwithstanding
notwith-fianding notwithstanding
notwith-fiaqding notwithstanding
notwith-fkandlng notwithstanding
notwith-flaading notwithstanding
not-withflanding notwithstanding
notwith-flanding notwithstanding
notwith-fsanding notwithstanding
notwith-ftandiag notwithstanding
not-withftanding notwithstanding
notwith-ftanding notwithstanding
notwithftand-ing notwithstanding
notwith-ftandrng notwithstanding
notwith-ftandthg notwithstanding
notwith-ftandtog notwithstanding
notwith-ftaoding notwithstanding
notwith-ftapding notwithstanding
notwith-ftariding notwithstanding
notwith-ftatiding notwithstanding
notwith-ftauding notwithstanding
notwith-ftlading notwithstanding
notwith-handing notwithstanding
notwith-Handing notwithstanding
notwith(hinding notwithstanding
notwith-(hmding notwithstanding
notwith-ihcding notwithstanding
notwith-ihnding notwithstanding
notwith-iianding notwithstanding
notwith-ilading notwithstanding
notwith-ilanding notwithstanding
notwith-Ilanding notwithstanding
notwith-itanding notwithstanding
notwith-Itanding notwithstanding
notwith-itnnding notwithstanding
notwith-jlanding notwithstanding
notwith-Jlanding notwithstanding
notwith-Jlaniing notwithstanding
notwith-(landing notwithstanding
notwith(landing notwithstanding
notwith-lianding notwithstanding
notwith-llanding notwithstanding
notwith-ltanding notwithstanding
not-withstanding notwithstanding
notwith-standing notwithstanding
not-Withstanding notwithstanding
notwith-(tending notwithstanding
not-witlistanding notwithstanding
nptwith-standing notwithstanding
Nt-celfity Necessity
Num-\ bers Numbers
ob-ftrufted obstructed
ob-ftruft obstruct
ob-ftru&ing obstructing
Objec-\ tions Objections
Objec-tions Objections
Obstruc-tfqns Obstructions
Obstruc-tions Obstructions
obtain-ing obtaining
occa-fion occasion
oc-cafton occasion
Occu-\ piers Occupiers
Occu-piers Occupiers
of-fence offence
Offi-\ cers Officers
Offi-cers Officers
ofpar-liament of\ parliament
o-mitted omitted
oncthou-fand one\ thousand
one-fixth one-sixth
One-fourib One-fourth
One-fourih One-fourth
One-thiid One-third
onethou-fand one\ thousand
Oon-viction Conviction
o-pen open
Opera-tion Operation
Oppo-tunity Opportunity
or-der order
Or-\ dinances Ordinances
Or-dinances Ordinances
or-dinary ordinary
